28
Grain_ID,Active,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,Neighborhoods,Omega3s,Phases,Volumes
1,1,-0.364238,0.855529,0.749426,1,0.993065,0.7757,12.0885,9.15058,8.35445,15.21,56,1,1,1842.39
2,1,0.353982,-1.28028,-0.831482,1,0.873476,0.851769,21.7969,14.441,9.22711,9.08168,22,1,1,392.191
3,1,1.02981,-1.34468,-0.349137,1,0.952187,0.910101,20,15.2,24.8,12.6752,24,1,1,1066.25
4,1,0.720169,1.53812,-0.213098,1,0.924026,0.83873,1.24834,11.4772,22.1821,9.42029,24,1,1,437.715
5,1,-0.454305,-1.02815,0.981355,1,0.953316,0.83798,9.17317,25.3109,2.58624,9.89493,22,1,1,507.268
6,1,1.17434,1.45711,-0.57485,1,0.980221,0.94283,16.8,18.4,12,12.9391,40,1,1,1134.25
7,1,0.975745,0.791519,-1.55076,1,0.956345,0.953667,23.5038,20.4488,10.2718,5.8159,10,1,1,103.003
8,1,0.842869,0.527194,-0.532217,1,0.912398,0.862535,0.8,18.4125,1.33796,11.2659,18,1,1,748.671
9,1,-1.58443,0.849288,0.142006,1,0.907484,0.779343,20.403,2.54573,2.11306,9.26525,10,1,1,416.457
10,1,0.358956,0.85956,-0.666829,1,0.923102,0.902973,24.8,11.2589,6.75203,7.50963,12,1,1,221.745
11,1,-1.2923,-1.23339,0.655511,1,0.936944,0.854685,10.9036,19.543,20.9818,10.7652,16,1,1,653.233
12,1,0.703742,-1.11192,-1.38746,1,0.916586,0.702392,7.66217,16.2601,1.76191,11.8616,24,1,1,873.84
13,1,0.0205403,-1.26321,-1.15345,1,0.847531,0.75967,9.97462,0.8,4.79039,7.71331,6,1,1,240.282
14,1,0.0481474,1.0126,1.50317,1,0.998435,0.895641,3.88555,2.63632,13.8653,15.6588,24,1,1,2010.37
15,1,-1.71078,-0.984241,0.461645,1,0.939226,0.860555,15.2,0.8,13.6,12.2062,26,1,1,952.228
16,1,0.582968,1.66836,-0.477928,1,0.973426,0.943932,22.802,2.11516,7.55062,10.0565,12,1,1,532.517
17,1,-0.48936,0.574426,0.221061,1,0.98155,0.866906,1.27205,0.8,6.03671,7.20573,10,1,1,195.899
18,1,0.542417,-1.47601,-1.42239,1,0.96095,0.886159,19.1314,23.2596,3.59277,9.91613,24,1,1,510.535
19,1,0.148544,1.28541,-1.6605,1,0.934926,0.879551,0.8,8.8,5.6,8.49701,20,1,1,321.216
20,1,0.546796,-1.53484,-1.37027,1,0.899648,0.890024,3.59047,3.67466,0.8,6.32254,12,1,1,132.335
21,1,-0.211848,0.478659,-0.340938,1,0.898902,0.774993,21.6,4,18.4,5.92509,8,1,1,108.914
22,1,1.69816,1.45705,-0.881382,1,0.873261,0.844564,3.83485,23.0984,15.1766,17.6618,48,1,1,2884.72
23,1,0.371362,-1.12292,-0.623205,1,0.878916,0.681654,24.8,9.7187,15.0387,7.75751,14,1,1,244.436
24,1,-1.54586,1.065,1.20272,1,0.836852,0.681664,15.3629,19.8506,0.8,5.48245,14,1,1,86.2823
25,1,-0.896476,0.557571,-0.218243,1,0.90501,0.871827,20.186,10.6857,19.4207,11.2805,36,1,1,751.602
26,1,-1.27308,-0.246753,-0.0848479,1,0.860297,0.75583,7.2,15.2,23.2,7.68208,10,1,1,237.375
27,1,0.490355,-0.935359,0.478149,1,0.935625,0.931345,10.4,2.4,23.2,16.4995,48,1,1,2351.87
28,1,-0.179712,1.44019,0.327475,1,0.938557,0.896492,23.5186,25.033,17.8931,12.6403,24,1,1,1057.46
